"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","t"
"22656","03/05/2020",3,5,2020,13,0,"South_Korea","KR","KOR",51225321,"Asia",2020-05-03
"22655","04/05/2020",4,5,2020,8,2,"South_Korea","KR","KOR",51225321,"Asia",2020-05-04
"22654","05/05/2020",5,5,2020,3,2,"South_Korea","KR","KOR",51225321,"Asia",2020-05-05
"22653","06/05/2020",6,5,2020,2,1,"South_Korea","KR","KOR",51225321,"Asia",2020-05-06
"22652","07/05/2020",7,5,2020,4,1,"South_Korea","KR","KOR",51225321,"Asia",2020-05-07
"22651","08/05/2020",8,5,2020,12,0,"South_Korea","KR","KOR",51225321,"Asia",2020-05-08
"22650","09/05/2020",9,5,2020,18,0,"South_Korea","KR","KOR",51225321,"Asia",2020-05-09
"22649","10/05/2020",10,5,2020,34,0,"South_Korea","KR","KOR",51225321,"Asia",2020-05-10
"22648","11/05/2020",11,5,2020,35,0,"South_Korea","KR","KOR",51225321,"Asia",2020-05-11
"22647","12/05/2020",12,5,2020,27,2,"South_Korea","KR","KOR",51225321,"Asia",2020-05-12
"22646","13/05/2020",13,5,2020,26,1,"South_Korea","KR","KOR",51225321,"Asia",2020-05-13
"22645","14/05/2020",14,5,2020,29,1,"South_Korea","KR","KOR",51225321,"Asia",2020-05-14
"22644","15/05/2020",15,5,2020,27,0,"South_Korea","KR","KOR",51225321,"Asia",2020-05-15
"22643","16/05/2020",16,5,2020,19,2,"South_Korea","KR","KOR",51225321,"Asia",2020-05-16
"22642","17/05/2020",17,5,2020,13,0,"South_Korea","KR","KOR",51225321,"Asia",2020-05-17
"22641","18/05/2020",18,5,2020,15,1,"South_Korea","KR","KOR",51225321,"Asia",2020-05-18
"22640","19/05/2020",19,5,2020,13,0,"South_Korea","KR","KOR",51225321,"Asia",2020-05-19
"22639","20/05/2020",20,5,2020,32,0,"South_Korea","KR","KOR",51225321,"Asia",2020-05-20
"22638","21/05/2020",21,5,2020,12,1,"South_Korea","KR","KOR",51225321,"Asia",2020-05-21
"22637","22/05/2020",22,5,2020,20,0,"South_Korea","KR","KOR",51225321,"Asia",2020-05-22
"22636","23/05/2020",23,5,2020,23,2,"South_Korea","KR","KOR",51225321,"Asia",2020-05-23
"22635","24/05/2020",24,5,2020,25,0,"South_Korea","KR","KOR",51225321,"Asia",2020-05-24
"22634","25/05/2020",25,5,2020,16,1,"South_Korea","KR","KOR",51225321,"Asia",2020-05-25
"22633","26/05/2020",26,5,2020,19,2,"South_Korea","KR","KOR",51225321,"Asia",2020-05-26
"22632","27/05/2020",27,5,2020,40,0,"South_Korea","KR","KOR",51225321,"Asia",2020-05-27
"22631","28/05/2020",28,5,2020,79,0,"South_Korea","KR","KOR",51225321,"Asia",2020-05-28
"22630","29/05/2020",29,5,2020,58,0,"South_Korea","KR","KOR",51225321,"Asia",2020-05-29
"22629","30/05/2020",30,5,2020,39,0,"South_Korea","KR","KOR",51225321,"Asia",2020-05-30
"22628","31/05/2020",31,5,2020,27,1,"South_Korea","KR","KOR",51225321,"Asia",2020-05-31
"22627","01/06/2020",1,6,2020,35,1,"South_Korea","KR","KOR",51225321,"Asia",2020-06-01
"22626","02/06/2020",2,6,2020,38,1,"South_Korea","KR","KOR",51225321,"Asia",2020-06-02
"22625","03/06/2020",3,6,2020,49,1,"South_Korea","KR","KOR",51225321,"Asia",2020-06-03
